YEAR BUILT,PROPERTY TYPE,CURRENT BUILDING EVAL SCORE,LATITUDE,LONGITUDE
1955,PRIVATE,99,43.675625786,-79.433405009
1955,PRIVATE,87,43.6988240231,-79.4343514595
1955,PRIVATE,88,43.636155565,-79.435158153
1955,PRIVATE,92,43.6884054492,-79.4358516608
1955,PRIVATE,90,43.636668486,-79.436114356
1955,PRIVATE,84,43.7303895479,-79.4363698619
1955,PRIVATE,90,43.7419930803,-79.4364254778
1955,PRIVATE,89,43.7421552614,-79.4365679609
1955,PRIVATE,89,43.743072408,-79.4368800635
1955,PRIVATE,84,43.7418342537,-79.4371971572
1955,PRIVATE,98,43.6357677908,-79.4377979997
1955,PRIVATE,95,43.7022080434,-79.4400323266
1955,PRIVATE,65,43.701461008,-79.440472942
1956,PRIVATE,98,43.754044974,-79.265154241
1956,PRIVATE,92,43.759693301,-79.289071527
1956,PRIVATE,86,43.722488216,-79.2987114556
1956,PRIVATE,89,43.7085088591,-79.2998972117
1956,PRIVATE,80,43.708477676,-79.3002028238
1956,PRIVATE,90,43.7274308243,-79.3009591644
1956,PRIVATE,89,43.726834232,-79.3021111159
1956,PRIVATE,91,43.6778956947,-79.3088113763
1956,PRIVATE,95,43.685070585,-79.342353617
1956,PRIVATE,91,43.7387840807,-79.3424492566
1956,PRIVATE,89,43.689964772,-79.3476769455
1956,PRIVATE,80,43.704897465,-79.361903925
1956,PRIVATE,89,43.674781847,-79.38361137
1956,PRIVATE,77,43.7077721579,-79.3852319597
1956,PRIVATE,89,43.685675216,-79.416929405
1956,PRIVATE,95,43.7399203058,-79.4200552723
1956,PRIVATE,85,43.7083504804,-79.4265525477
1956,PRIVATE,78,43.732579372,-79.43469867
1956,PRIVATE,87,43.635394732,-79.434902995
1956,PRIVATE,75,43.732489237,-79.434967025
1956,PRIVATE,98,43.7311946993,-79.4353275935
1956,PRIVATE,88,43.636923954,-79.436212784
1956,PRIVATE,82,43.7424088558,-79.4365679178
1956,PRIVATE,70,43.7301212379,-79.4376331135
1956,PRIVATE,84,43.732486121,-79.437718612
1956,PRIVATE,69,43.7307078351,-79.4377714103
1956,PRIVATE,80,43.7300610328,-79.4379110526
1957,PRIVATE,86,43.75259236,-79.261009026
1957,PRIVATE,88,43.752739742,-79.261076892
1957,PRIVATE,94,43.728810664,-79.2674784317
1957,PRIVATE,82,43.6748716677,-79.2794749048
1957,PRIVATE,89,43.674434569,-79.379291222
